Capability,TownBell demonstrates,Replay source,Direct Reconstructed Inferred etc,Likely algorithm,Accuracy confidence,Required raw fields,Age of Friends use,V1 V2 Future
Age spend imperial [age_spend_imperial],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Apm feudal [apm_feudal],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Apm castle [apm_castle],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Apm imperial [apm_imperial],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Apm variability [apm_variability],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Camera pan share [camera_pan_share],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
First command time [first_command_time],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Feudal transition apm [feudal_transition_apm],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Heavy plow time [heavy_plow_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Crop rotation time [crop_rotation_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Bow saw time [bow_saw_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Two man saw time [two_man_saw_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Gold shaft mining time [gold_shaft_mining_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Stone mining time [stone_mining_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Guilds time [guilds_time],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Banking time [banking_time],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Coinage time [coinage_time],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Caravan time [caravan_time],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Husbandry time [husbandry_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Town watch time [town_watch_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Forging time [forging_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Fletching time [fletching_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Bodkin arrow time [bodkin_arrow_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Eco upgrades by castle [eco_upgrades_by_castle],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Eco upgrades total [eco_upgrades_total],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
First market [first_market],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First university [first_university],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
University tech count [university_tech_count],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Blacksmith count [blacksmith_count],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First siege workshop [first_siege_workshop],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Longest idle gap [longest_idle_gap],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Idle gaps over 30s [idle_gaps_over_30s],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
First five min commands [first_five_min_commands],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Extra tc count [extra_tc_count],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First extra tc time [first_extra_tc_time],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First monk time [first_monk_time],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
First siege unit [first_siege_unit],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Delete commands [delete_commands],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Median selection size [median_selection_size],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Commands per fight [commands_per_fight],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Long lulls [long_lulls],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Tribute sent total [tribute_sent_total],Yes in supplied public JSON export,DE_TRIBUTE or TRIBUTE commands and target player,A plus B,"Filter zero/setup records, aggregate resource vectors on directed player edges and compute received or net totals",High after payload semantics are validated across patches; zero-value records require filtering,"timestamp, actor, target player, food, wood, gold, stone and fee","Team support, Friend and Chivalry inputs, sling detection and pairwise relationship history",V1
Tribute received total [tribute_received_total],Yes in supplied public JSON export,DE_TRIBUTE or TRIBUTE commands and target player,A plus B,"Filter zero/setup records, aggregate resource vectors on directed player edges and compute received or net totals",High after payload semantics are validated across patches; zero-value records require filtering,"timestamp, actor, target player, food, wood, gold, stone and fee","Team support, Friend and Chivalry inputs, sling detection and pairwise relationship history",V1
Tribute net [tribute_net],Yes in supplied public JSON export,DE_TRIBUTE or TRIBUTE commands and target player,A plus B,"Filter zero/setup records, aggregate resource vectors on directed player edges and compute received or net totals",High after payload semantics are validated across patches; zero-value records require filtering,"timestamp, actor, target player, food, wood, gold, stone and fee","Team support, Friend and Chivalry inputs, sling detection and pairwise relationship history",V1
First tribute sent [first_tribute_sent],Yes in supplied public JSON export,DE_TRIBUTE or TRIBUTE commands and target player,A plus B,"Filter zero/setup records, aggregate resource vectors on directed player edges and compute received or net totals",High after payload semantics are validated across patches; zero-value records require filtering,"timestamp, actor, target player, food, wood, gold, stone and fee","Team support, Friend and Chivalry inputs, sling detection and pairwise relationship history",V1
Trade units trained [trade_units_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
First trade unit [first_trade_unit],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
First relic touch [first_relic_touch],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Relic commands [relic_commands],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
First gate [first_gate],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Monastery techs [monastery_techs],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Techs feudal age [techs_feudal_age],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Techs castle age [techs_castle_age],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Techs imperial age [techs_imperial_age],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Techs total [techs_total],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Ally fight participation [ally_fight_participation],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Flares sent [flares_sent],Yes in supplied public JSON export,"ACTION, CHAT and FLARE operations plus reconstructed age windows",B or C,"Count events or compare their timing with inferred fights, pressure and age intervals","High for raw counts; medium or lower for initiative, etiquette, inactivity or strategic labels","timestamp, actor, action type, chat audience and text, flare targets, age intervals and fight evidence","Match narrative facts, social behavior, pressure and performance models",V2
Attack move share [attack_move_share],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Formation types used [formation_types_used],Yes in supplied public JSON export,"ACTION operations including selected object ids, gather points, formations and command types",B or C,"Aggregate selection sizes, command categories, batches or rally targets; use explicit deduplication where claiming effective actions",High for raw command properties; medium for quality or efficiency interpretations,"timestamp, actor, action type, object ids, target id and type, entity ids and coordinates","Execution profile, production habits and multitasking proxies",V2
Apm peak minute [apm_peak_minute],Yes in supplied public JSON export,ACTION operations and replay clock,B,Count decoded player actions in fixed or age-relative windows and divide by elapsed minutes where applicable,High for the stated counting rule; comparability depends on whether repeated/UI-generated commands are included,"timestamp, actor, action type, sequence, age intervals and match duration","Input activity, pacing, consistency and execution baselines",V1 raw counts; V2 normalized metrics
Team role [team_role],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Nearest enemy distance [nearest_enemy_distance],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Age spend dark [age_spend_dark],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Military added dark [military_added_dark],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Military spend feudal age [military_spend_feudal_age],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Military spend castle age [military_spend_castle_age],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Military spend imperial age [military_spend_imperial_age],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Buildings dark age [buildings_dark_age],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Buildings feudal age [buildings_feudal_age],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Buildings castle age [buildings_castle_age],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Buildings imperial age [buildings_imperial_age],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Villagers per tc spread [villagers_per_tc_spread],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Production buildings used [production_buildings_used],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Research buildings used [research_buildings_used],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
